Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank Z-score,GFDD.SI.01,Belarus,BLR,..,..,..,37.27287,30.72357,26.32299,50.86295,42.82338,16.98633,16.99513,18.00818,19.44077,19.95628,22.92909,14.27075,20.06017,20.09407,19.87708,16.10306,16.9789,18.70259,18.86887,18.61382,17.6692,17.12395
Bank Z-score,GFDD.SI.01,Belgium,BEL,..,..,..,7.882141,9.053119,10.53425,9.520517,8.127186,7.126903,8.231667,9.921206,3.75745,7.360682,10.51593,9.672375,12.44705,14.23736,14.36594,15.67043,16.37894,18.16668,17.78204,18.25408,16.52576,15.4485
Bank Z-score,GFDD.SI.01,Belize,BLZ,..,..,..,..,7.956817,9.580381,10.26626,11.24984,11.29285,11.32628,12.01486,10.87529,9.436426,..,..,..,..,..,8.833839,8.181306,10.25167,10.3004,9.817226,6.773071,..
Bank Z-score,GFDD.SI.01,Benin,BEN,..,..,..,12.91856,15.54226,14.74602,13.37098,14.62364,15.81474,15.51147,16.13169,14.60595,14.30736,15.00294,14.79733,14.32835,12.0286,..,9.922345,8.608675,7.838364,11.88513,11.90162,..,..
Bank Z-score,GFDD.SI.01,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,23.74351,27.50932,25.30446,25.20727,19.62559,22.03606,22.614,21.16991,23.82868,26.09518,22.26934,20.18716,18.72809
Bank Z-score,GFDD.SI.01,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.08103,21.42044,21.60773,19.42956,18.26993,18.50756,16.36592,11.20364,12.46007
Bank Z-score,GFDD.SI.01,Bolivia,BOL,..,..,..,10.30406,13.00705,15.96303,16.69514,15.28258,15.76174,14.96136,15.50513,15.56016,13.81816,12.15186,12.14597,12.22055,11.04395,10.94711,10.18686,10.6695,9.5578,9.244541,9.595237,8.104293,8.322064
Bank Z-score,GFDD.SI.01,Bosnia and Herzegovina,BIH,..,..,..,22.70304,14.5589,17.0066,16.42692,14.6052,13.23495,13.69628,12.37714,12.97099,13.5129,14.12737,17.87443,18.76711,17.76029,18.65933,17.95149,18.51242,18.97532,17.08238,16.79659,15.29625,15.29255
Bank Z-score,GFDD.SI.01,Botswana,BWA,..,..,..,9.010239,7.521451,8.249778,9.12426,7.987111,7.652797,6.348526,5.364676,5.736095,6.551302,7.555939,8.421167,8.96806,9.692696,9.374351,8.128801,8.435014,8.347235,8.37,8.500373,8.288707,9.001644
Bank Z-score,GFDD.SI.01,Brazil,BRA,..,..,..,15.42642,16.49691,17.48647,17.52457,16.80821,16.19617,17.62595,17.06618,17.79325,17.20974,15.3085,14.67711,14.96336,14.53454,14.76513,15.58268,15.95113,16.98571,16.93262,18.54721,15.71668,16.35463
Bank Z-score,GFDD.SI.01,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Bulgaria,BGR,..,..,..,14.27572,10.25186,10.25551,9.867536,8.123533,7.817934,7.572717,8.40668,8.44208,8.643723,8.595153,8.659687,8.641701,8.415757,8.748191,8.708157,9.149668,8.928413,8.719459,8.123374,7.749717,7.869337
Bank Z-score,GFDD.SI.01,Burkina Faso,BFA,..,..,..,8.247678,9.394605,11.45829,10.28714,10.84079,9.420137,8.66299,8.211337,5.614235,8.63248,8.4382,10.09764,10.22394,10.56312,9.803467,8.678128,9.226456,9.320739,9.451686,9.860801,9.561109,..
Bank Z-score,GFDD.SI.01,Burundi,BDI,..,..,..,15.91231,15.73536,13.02774,11.44267,13.24596,13.88344,12.15912,10.21173,12.92863,14.29795,13.08737,16.54954,15.15737,12.32024,..,15.64894,14.90026,14.72019,14.59352,16.97139,18.15346,18.70014
Bank Z-score,GFDD.SI.01,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,15.71089,19.38093,19.49653,19.8768,20.33684,20.17573,19.79964,20.58774,20.14221,19.36932,18.53158,22.8945,25.47081,27.08953
Bank Z-score,GFDD.SI.01,Cambodia,KHM,..,..,..,..,..,24.28772,26.0425,23.5535,28.59257,29.98851,25.87021,29.3241,28.19832,29.11961,28.7236,27.55399,28.38683,26.16084,26.17611,25.0181,25.39946,25.48395,26.36913,26.42809,26.77147
Bank Z-score,GFDD.SI.01,Cameroon,CMR,..,..,..,10.84481,9.468249,9.269218,11.41982,10.63145,11.48797,10.42733,9.903004,9.672549,9.289059,9.63721,9.635683,9.855334,12.00264,9.666199,10.15607,9.955661,10.53425,8.825315,9.844123,10.58627,..
Bank Z-score,GFDD.SI.01,Canada,CAN,..,..,..,16.64024,18.30962,15.51264,15.37344,17.28203,19.08184,18.60958,18.14328,18.64976,18.9248,17.38711,14.12581,13.65419,13.66008,13.69585,13.88616,14.19255,14.48891,14.37822,14.20599,13.06755,13.85122
Bank Z-score,GFDD.SI.01,Cayman Islands,CYM,..,..,..,18.46268,16.69903,27.68269,23.62177,24.3614,30.2199,16.96394,15.10731,21.98154,22.04615,21.65476,25.07313,26.23828,..,..,18.50337,17.26295,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Chad,TCD,..,..,..,15.83733,13.41495,..,..,16.18742,12.47522,12.54679,11.31018,..,..,..,12.38179,11.72726,11.0981,..,8.117155,8.417172,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Chile,CHL,..,..,..,9.388548,9.356902,9.42033,9.820443,9.496319,9.533514,9.184077,9.802999,..,..,8.018787,8.775351,9.288716,9.083609,9.340874,8.528882,8.49224,8.689783,8.552716,7.761494,6.652649,7.446439
Bank Z-score,GFDD.SI.01,China,CHN,..,..,..,19.23762,11.57558,10.80062,9.753115,9.505338,10.64458,19.23969,20.36639,19.31134,18.67495,19.80638,18.63039,19.79619,19.63847,20.26328,23.62905,21.81829,22.5563,23.32925,24.55772,24.44535,25.01797
