Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],Max
Morocco,MAR,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,32.7,,,32.7
Morocco,MAR,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,55.97,,,55.97
Morocco,MAR,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,33.93,,,33.93
Morocco,MAR,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,35.9,,,35.9
Morocco,MAR,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,36.91,,,36.91
Morocco,MAR,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Morocco,MAR,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,16.9,,,,29.6,29.6
Morocco,MAR,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,9,,,,,9
Morocco,MAR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,0
Morocco,MAR,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,9
Morocco,MAR,Control of Corruption: Percentile Rank,CC.PER.RNK,41.42856979,38.57143021,38.57143021,39.62264252,33.01886749,41.42856979
Morocco,MAR,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,0
Morocco,MAR,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,0
Morocco,MAR,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,85.188442,84.155031,83.710012,86.611351,,86.611351
Morocco,MAR,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
Morocco,MAR,Time required to start a business (days),IC.REG.DURS,9,,,,,9
Mozambique,MOZ,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,49.49,,,49.49
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,38.69,,,38.69
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,61,,,61
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,34.48,,,34.48
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,49.43,,,49.43
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,39.11,,,39.11
Mozambique,MOZ,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Mozambique,MOZ,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,,,,,,0
Mozambique,MOZ,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,5,,,,,5
Mozambique,MOZ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,78.8783415,101.3909318,84.15696646,76.63506095,,101.3909318
Mozambique,MOZ,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,0
Mozambique,MOZ,Control of Corruption: Percentile Rank,CC.PER.RNK,21.90476227,24.76190567,22.38095284,21.69811249,22.16981125,24.76190567
Mozambique,MOZ,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,0
Mozambique,MOZ,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,0
Mozambique,MOZ,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,63.510173,64.175446,61.318166,68.419986,,68.419986
Mozambique,MOZ,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
Mozambique,MOZ,Time required to start a business (days),IC.REG.DURS,17,,,,,17
Myanmar,MMR,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,47.79,,,47.79
Myanmar,MMR,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,46.15,,,46.15
