Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],Max
Liberia,LBR,Time required to start a business (days),IC.REG.DURS,18,,,,,18
Lithuania,LTU,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,93.53,,,93.53
Lithuania,LTU,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,90.38,,,90.38
Lithuania,LTU,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,96.99,,,96.99
Lithuania,LTU,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,91.33,,,91.33
Lithuania,LTU,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,92.02,,,92.02
Lithuania,LTU,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,74.08,,,74.08
Lithuania,LTU,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Lithuania,LTU,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,0.2,,,,,0.2
Lithuania,LTU,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,7,,,,,7
