Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank Z-score,GFDD.SI.01,Cabo Verde,CPV,..,..,20.33684,20.17573,19.79964,20.58774,20.14221,19.36932,18.53158,22.8945,25.47081,27.08953
Bank Z-score,GFDD.SI.01,Cambodia,KHM,..,..,27.55399,28.38683,26.16084,26.17611,25.0181,25.39946,25.48395,26.36913,26.42809,26.77147
Bank Z-score,GFDD.SI.01,Cameroon,CMR,..,10.84481,9.855334,12.00264,9.666199,10.15607,9.955661,10.53425,8.825315,9.844123,10.58627,..
Bank Z-score,GFDD.SI.01,Canada,CAN,..,16.64024,13.65419,13.66008,13.69585,13.88616,14.19255,14.48891,14.37822,14.20599,13.06755,13.85122
Bank Z-score,GFDD.SI.01,Cayman Islands,CYM,..,18.46268,26.23828,..,..,18.50337,17.26295,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Chad,TCD,..,15.83733,11.72726,11.0981,..,8.117155,8.417172,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Chile,CHL,..,9.388548,9.288716,9.083609,9.340874,8.528882,8.49224,8.689783,8.552716,7.761494,6.652649,7.446439
Bank Z-score,GFDD.SI.01,China,CHN,..,19.23762,19.79619,19.63847,20.26328,23.62905,21.81829,22.5563,23.32925,24.55772,24.44535,25.01797
Bank Z-score,GFDD.SI.01,Colombia,COL,..,2.12443,5.837483,..,..,6.413251,6.471997,5.932585,6.019376,6.134324,5.253978,4.320385
Bank Z-score,GFDD.SI.01,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,"Congo, Dem. Rep.",COD,..,18.37744,9.916953,9.771398,10.6012,8.892292,7.481957,7.104617,8.548488,7.424381,5.636406,..
Bank Z-score,GFDD.SI.01,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Costa Rica,CRI,..,20.83077,21.49812,20.18664,17.49226,17.436,20.19376,18.72457,19.15008,20.40005,18.81415,19.60885
Bank Z-score,GFDD.SI.01,Cote d'Ivoire,CIV,..,17.31451,17.64459,17.57693,16.24919,16.3723,16.23994,16.31917,16.5086,17.51922,16.94303,19.02191
Bank Z-score,GFDD.SI.01,Croatia,HRV,..,6.617574,7.861647,7.394768,7.605237,6.566321,8.026342,8.239655,7.880998,7.937998,7.289279,7.392629
Bank Z-score,GFDD.SI.01,Cuba,CUB,..,14.22871,..,..,..,22.1516,19.88058,18.41802,18.59676,19.55267,22.44986,..
Bank Z-score,GFDD.SI.01,Curaçao,CUW,..,14.89204,8.28106,7.078376,11.19544,12.06164,11.69734,9.513255,10.97103,11.20895,10.57251,11.01254
Bank Z-score,GFDD.SI.01,Cyprus,CYP,..,9.54219,8.428222,9.23225,8.272057,8.268928,9.832859,7.110081,7.88143,8.028267,7.120387,6.074417
Bank Z-score,GFDD.SI.01,Czech Republic,CZE,..,8.341993,12.21091,11.67634,12.24763,12.14578,11.56156,10.4291,10.2291,10.83713,10.51501,10.34125
